player,round,hole,strokes,par,yds,score
"Frederic, CREVON",1,1,5,5,153,0
"Frederic, CREVON",1,2,4,4,164,0
"Frederic, CREVON",1,3,4,4,202,0
"Frederic, CREVON",1,4,4,4,174,0
"Frederic, CREVON",1,5,4,3,99,1
"Frederic, CREVON",1,6,3,4,137,-1
"Frederic, CREVON",1,7,3,3,89,0
"Frederic, CREVON",1,8,3,3,76,0
"Frederic, CREVON",1,9,5,5,167,0
"Frederic, CREVON",1,10,4,4,198,0
"Frederic, CREVON",1,11,3,4,178,-1
"Frederic, CREVON",1,12,5,5,216,0
"Frederic, CREVON",1,13,4,4,273,0
"Frederic, CREVON",1,14,4,4,193,0
"Frederic, CREVON",1,15,4,4,181,0
"Frederic, CREVON",1,16,3,4,165,-1
"Frederic, CREVON",1,17,3,4,175,-1
"Frederic, CREVON",1,18,3,3,64,0
"van den Broek, Wesley",1,1,4,5,153,-1
"van den Broek, Wesley",1,2,5,4,164,1
"van den Broek, Wesley",1,3,5,4,202,1
"van den Broek, Wesley",1,4,4,4,174,0
"van den Broek, Wesley",1,5,3,3,99,0
"van den Broek, Wesley",1,6,3,4,137,-1
"van den Broek, Wesley",1,7,3,3,89,0
"van den Broek, Wesley",1,8,4,3,76,1
"van den Broek, Wesley",1,9,2,5,167,-3
"van den Broek, Wesley",1,10,4,4,198,0
"van den Broek, Wesley",1,11,2,4,178,-2
"van den Broek, Wesley",1,12,5,5,216,0
"van den Broek, Wesley",1,13,4,4,273,0
"van den Broek, Wesley",1,14,3,4,193,-1
"van den Broek, Wesley",1,15,2,4,181,-2
"van den Broek, Wesley",1,16,5,4,165,1
"van den Broek, Wesley",1,17,2,4,175,-2
"van den Broek, Wesley",1,18,5,3,64,2
"Kuipers, Jim",1,1,4,5,153,-1
"Kuipers, Jim",1,2,3,4,164,-1
"Kuipers, Jim",1,3,4,4,202,0
"Kuipers, Jim",1,4,5,4,174,1
"Kuipers, Jim",1,5,3,3,99,0
"Kuipers, Jim",1,6,4,4,137,0
"Kuipers, Jim",1,7,5,3,89,2
"Kuipers, Jim",1,8,4,3,76,1
"Kuipers, Jim",1,9,4,5,167,-1
"Kuipers, Jim",1,10,5,4,198,1
"Kuipers, Jim",1,11,2,4,178,-2
